Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,43.71%,43.711023926734924
nvidia_deepseek_ai_deepseek_r1_0528,literature,78.27%,78.26786994934082
nvidia_deepseek_ai_deepseek_r1_0528,news,75.07%,75.07389783859253
nvidia_ai21labs_jamba_1_5_large_instruct,academic,43.71%,43.711023926734924
nvidia_ai21labs_jamba_1_5_large_instruct,literature,78.27%,78.26786994934082
nvidia_ai21labs_jamba_1_5_large_instruct,news,75.07%,75.07389783859253
nvidia_meta_llama_3_3_70b_instruct,academic,43.71%,43.711023926734924
nvidia_meta_llama_3_3_70b_instruct,literature,78.27%,78.26786994934082
nvidia_meta_llama_3_3_70b_instruct,news,75.07%,75.07389783859253
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,43.71%,43.711023926734924
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,78.27%,78.26786994934082
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,75.07%,75.07389783859253
nvidia_qwen_qwq_32b,academic,43.71%,43.711023926734924
nvidia_qwen_qwq_32b,literature,78.27%,78.26786994934082
nvidia_qwen_qwq_32b,news,75.07%,75.07389783859253
nvidia_google_gemma_2_27b_it,academic,43.71%,43.711023926734924
nvidia_google_gemma_2_27b_it,literature,78.27%,78.26786994934082
nvidia_google_gemma_2_27b_it,news,75.07%,75.07389783859253
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,43.71%,43.711023926734924
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,78.27%,78.26786994934082
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,75.07%,75.07389783859253
nvidia_deepseek_ai_deepseek_v3_1,academic,43.71%,43.711023926734924
nvidia_deepseek_ai_deepseek_v3_1,literature,78.27%,78.26786994934082
nvidia_deepseek_ai_deepseek_v3_1,news,75.07%,75.07389783859253
nvidia_openai_gpt_oss_120b,academic,43.71%,43.711023926734924
nvidia_openai_gpt_oss_120b,literature,78.27%,78.26786994934082
nvidia_openai_gpt_oss_120b,news,75.07%,75.07389783859253
nvidia_moonshotai_kimi_k2_instruct,academic,43.71%,43.711023926734924
nvidia_moonshotai_kimi_k2_instruct,literature,78.27%,78.26786994934082
nvidia_moonshotai_kimi_k2_instruct,news,75.07%,75.07389783859253
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,43.71%,43.711023926734924
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,78.27%,78.26786994934082
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,75.07%,75.07389783859253
nvidia_writer_palmyra_creative_122b,academic,43.71%,43.711023926734924
nvidia_writer_palmyra_creative_122b,literature,78.27%,78.26786994934082
nvidia_writer_palmyra_creative_122b,news,75.07%,75.07389783859253
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,43.71%,43.711023926734924
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,78.27%,78.26786994934082
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,75.07%,75.07389783859253
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,43.71%,43.711023926734924
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,78.27%,78.26786994934082
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,75.07%,75.07389783859253
