Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,42.01%,42.00744092464447
nvidia_deepseek_ai_deepseek_r1_0528,literature,67.70%,67.7048534154892
nvidia_deepseek_ai_deepseek_r1_0528,news,68.36%,68.35518956184387
nvidia_ai21labs_jamba_1_5_large_instruct,academic,42.01%,42.00744092464447
nvidia_ai21labs_jamba_1_5_large_instruct,literature,67.70%,67.7048534154892
nvidia_ai21labs_jamba_1_5_large_instruct,news,68.36%,68.35518956184387
nvidia_meta_llama_3_3_70b_instruct,academic,42.01%,42.00744092464447
nvidia_meta_llama_3_3_70b_instruct,literature,67.70%,67.7048534154892
nvidia_meta_llama_3_3_70b_instruct,news,68.36%,68.35518956184387
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,42.01%,42.00744092464447
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,67.70%,67.7048534154892
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,68.36%,68.35518956184387
nvidia_qwen_qwq_32b,academic,42.01%,42.00744092464447
nvidia_qwen_qwq_32b,literature,67.70%,67.7048534154892
nvidia_qwen_qwq_32b,news,68.36%,68.35518956184387
nvidia_google_gemma_2_27b_it,academic,42.01%,42.00744092464447
nvidia_google_gemma_2_27b_it,literature,67.70%,67.7048534154892
nvidia_google_gemma_2_27b_it,news,68.36%,68.35518956184387
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,42.01%,42.00744092464447
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,67.70%,67.7048534154892
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,68.36%,68.35518956184387
nvidia_deepseek_ai_deepseek_v3_1,academic,42.01%,42.00744092464447
nvidia_deepseek_ai_deepseek_v3_1,literature,67.70%,67.7048534154892
nvidia_deepseek_ai_deepseek_v3_1,news,68.36%,68.35518956184387
nvidia_openai_gpt_oss_120b,academic,42.01%,42.00744092464447
nvidia_openai_gpt_oss_120b,literature,67.70%,67.7048534154892
nvidia_openai_gpt_oss_120b,news,68.36%,68.35518956184387
nvidia_moonshotai_kimi_k2_instruct,academic,42.01%,42.00744092464447
nvidia_moonshotai_kimi_k2_instruct,literature,67.70%,67.7048534154892
nvidia_moonshotai_kimi_k2_instruct,news,68.36%,68.35518956184387
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,42.01%,42.00744092464447
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,67.70%,67.7048534154892
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,68.36%,68.35518956184387
nvidia_writer_palmyra_creative_122b,academic,42.01%,42.00744092464447
nvidia_writer_palmyra_creative_122b,literature,67.70%,67.7048534154892
nvidia_writer_palmyra_creative_122b,news,68.36%,68.35518956184387
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,42.01%,42.00744092464447
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,67.70%,67.7048534154892
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,68.36%,68.35518956184387
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,42.01%,42.00744092464447
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,67.70%,67.7048534154892
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,68.36%,68.35518956184387
