Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,75.39%,75.38853526115417
nvidia_deepseek_ai_deepseek_r1_0528,literature,84.55%,84.54779744148254
nvidia_deepseek_ai_deepseek_r1_0528,news,74.35%,74.35148656368256
nvidia_ai21labs_jamba_1_5_large_instruct,academic,75.39%,75.38853526115417
nvidia_ai21labs_jamba_1_5_large_instruct,literature,84.55%,84.54779744148254
nvidia_ai21labs_jamba_1_5_large_instruct,news,74.35%,74.35148656368256
nvidia_meta_llama_3_3_70b_instruct,academic,75.39%,75.38853526115417
nvidia_meta_llama_3_3_70b_instruct,literature,84.55%,84.54779744148254
nvidia_meta_llama_3_3_70b_instruct,news,74.35%,74.35148656368256
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,75.39%,75.38853526115417
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,84.55%,84.54779744148254
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,74.35%,74.35148656368256
nvidia_qwen_qwq_32b,academic,75.39%,75.38853526115417
nvidia_qwen_qwq_32b,literature,84.55%,84.54779744148254
nvidia_qwen_qwq_32b,news,74.35%,74.35148656368256
nvidia_google_gemma_2_27b_it,academic,75.39%,75.38853526115417
nvidia_google_gemma_2_27b_it,literature,84.55%,84.54779744148254
nvidia_google_gemma_2_27b_it,news,74.35%,74.35148656368256
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,75.39%,75.38853526115417
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,84.55%,84.54779744148254
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,74.35%,74.35148656368256
nvidia_deepseek_ai_deepseek_v3_1,academic,75.39%,75.38853526115417
nvidia_deepseek_ai_deepseek_v3_1,literature,84.55%,84.54779744148254
nvidia_deepseek_ai_deepseek_v3_1,news,74.35%,74.35148656368256
nvidia_openai_gpt_oss_120b,academic,75.39%,75.38853526115417
nvidia_openai_gpt_oss_120b,literature,84.55%,84.54779744148254
nvidia_openai_gpt_oss_120b,news,74.35%,74.35148656368256
nvidia_moonshotai_kimi_k2_instruct,academic,75.39%,75.38853526115417
nvidia_moonshotai_kimi_k2_instruct,literature,84.55%,84.54779744148254
nvidia_moonshotai_kimi_k2_instruct,news,74.35%,74.35148656368256
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,75.39%,75.38853526115417
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,84.55%,84.54779744148254
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,74.35%,74.35148656368256
nvidia_writer_palmyra_creative_122b,academic,75.39%,75.38853526115417
nvidia_writer_palmyra_creative_122b,literature,84.55%,84.54779744148254
nvidia_writer_palmyra_creative_122b,news,74.35%,74.35148656368256
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,75.39%,75.38853526115417
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,84.55%,84.54779744148254
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,74.35%,74.35148656368256
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,75.39%,75.38853526115417
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,84.55%,84.54779744148254
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,74.35%,74.35148656368256
