Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,85.73%,85.7282853126526
nvidia_deepseek_ai_deepseek_r1_0528,literature,82.30%,82.29693174362183
nvidia_deepseek_ai_deepseek_r1_0528,news,82.61%,82.61270046234131
nvidia_ai21labs_jamba_1_5_large_instruct,academic,85.73%,85.7282853126526
nvidia_ai21labs_jamba_1_5_large_instruct,literature,82.30%,82.29693174362183
nvidia_ai21labs_jamba_1_5_large_instruct,news,82.61%,82.61270046234131
nvidia_meta_llama_3_3_70b_instruct,academic,85.73%,85.7282853126526
nvidia_meta_llama_3_3_70b_instruct,literature,82.30%,82.29693174362183
nvidia_meta_llama_3_3_70b_instruct,news,82.61%,82.61270046234131
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,85.73%,85.7282853126526
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,82.30%,82.29693174362183
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,82.61%,82.61270046234131
nvidia_qwen_qwq_32b,academic,85.73%,85.7282853126526
nvidia_qwen_qwq_32b,literature,82.30%,82.29693174362183
nvidia_qwen_qwq_32b,news,82.61%,82.61270046234131
nvidia_google_gemma_2_27b_it,academic,85.73%,85.7282853126526
nvidia_google_gemma_2_27b_it,literature,82.30%,82.29693174362183
nvidia_google_gemma_2_27b_it,news,82.61%,82.61270046234131
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,85.73%,85.7282853126526
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,82.30%,82.29693174362183
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,82.61%,82.61270046234131
nvidia_deepseek_ai_deepseek_v3_1,academic,85.73%,85.7282853126526
nvidia_deepseek_ai_deepseek_v3_1,literature,82.30%,82.29693174362183
nvidia_deepseek_ai_deepseek_v3_1,news,82.61%,82.61270046234131
nvidia_openai_gpt_oss_120b,academic,85.73%,85.7282853126526
nvidia_openai_gpt_oss_120b,literature,82.30%,82.29693174362183
nvidia_openai_gpt_oss_120b,news,82.61%,82.61270046234131
nvidia_moonshotai_kimi_k2_instruct,academic,85.73%,85.7282853126526
nvidia_moonshotai_kimi_k2_instruct,literature,82.30%,82.29693174362183
nvidia_moonshotai_kimi_k2_instruct,news,82.61%,82.61270046234131
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,85.73%,85.7282853126526
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,82.30%,82.29693174362183
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,82.61%,82.61270046234131
nvidia_writer_palmyra_creative_122b,academic,85.73%,85.7282853126526
nvidia_writer_palmyra_creative_122b,literature,82.30%,82.29693174362183
nvidia_writer_palmyra_creative_122b,news,82.61%,82.61270046234131
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,85.73%,85.7282853126526
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,82.30%,82.29693174362183
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,82.61%,82.61270046234131
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,85.73%,85.7282853126526
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,82.30%,82.29693174362183
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,82.61%,82.61270046234131
