Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,98.34%,98.34050416946411
nvidia_deepseek_ai_deepseek_r1_0528,literature,94.32%,94.32477235794067
nvidia_deepseek_ai_deepseek_r1_0528,news,93.56%,93.55724096298218
nvidia_ai21labs_jamba_1_5_large_instruct,academic,98.34%,98.34050416946411
nvidia_ai21labs_jamba_1_5_large_instruct,literature,94.32%,94.32477235794067
nvidia_ai21labs_jamba_1_5_large_instruct,news,93.56%,93.55724096298218
nvidia_meta_llama_3_3_70b_instruct,academic,98.34%,98.34050416946411
nvidia_meta_llama_3_3_70b_instruct,literature,94.32%,94.32477235794067
nvidia_meta_llama_3_3_70b_instruct,news,93.56%,93.55724096298218
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,98.34%,98.34050416946411
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,94.32%,94.32477235794067
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,93.56%,93.55724096298218
nvidia_qwen_qwq_32b,academic,98.34%,98.34050416946411
nvidia_qwen_qwq_32b,literature,94.32%,94.32477235794067
nvidia_qwen_qwq_32b,news,93.56%,93.55724096298218
nvidia_google_gemma_2_27b_it,academic,98.34%,98.34050416946411
nvidia_google_gemma_2_27b_it,literature,94.32%,94.32477235794067
nvidia_google_gemma_2_27b_it,news,93.56%,93.55724096298218
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,98.34%,98.34050416946411
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,94.32%,94.32477235794067
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,93.56%,93.55724096298218
nvidia_deepseek_ai_deepseek_v3_1,academic,98.34%,98.34050416946411
nvidia_deepseek_ai_deepseek_v3_1,literature,94.32%,94.32477235794067
nvidia_deepseek_ai_deepseek_v3_1,news,93.56%,93.55724096298218
nvidia_openai_gpt_oss_120b,academic,98.34%,98.34050416946411
nvidia_openai_gpt_oss_120b,literature,94.32%,94.32477235794067
nvidia_openai_gpt_oss_120b,news,93.56%,93.55724096298218
nvidia_moonshotai_kimi_k2_instruct,academic,98.34%,98.34050416946411
nvidia_moonshotai_kimi_k2_instruct,literature,94.32%,94.32477235794067
nvidia_moonshotai_kimi_k2_instruct,news,93.56%,93.55724096298218
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,98.34%,98.34050416946411
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,94.32%,94.32477235794067
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,93.56%,93.55724096298218
nvidia_writer_palmyra_creative_122b,academic,98.34%,98.34050416946411
nvidia_writer_palmyra_creative_122b,literature,94.32%,94.32477235794067
nvidia_writer_palmyra_creative_122b,news,93.56%,93.55724096298218
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,98.34%,98.34050416946411
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,94.32%,94.32477235794067
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,93.56%,93.55724096298218
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,98.34%,98.34050416946411
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,94.32%,94.32477235794067
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,93.56%,93.55724096298218
