Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,39.80%,39.7971811145544
nvidia_deepseek_ai_deepseek_r1_0528,literature,55.87%,55.870361328125
nvidia_deepseek_ai_deepseek_r1_0528,news,79.28%,79.28436994552612
nvidia_ai21labs_jamba_1_5_large_instruct,academic,39.80%,39.7971811145544
nvidia_ai21labs_jamba_1_5_large_instruct,literature,55.87%,55.870361328125
nvidia_ai21labs_jamba_1_5_large_instruct,news,79.28%,79.28436994552612
nvidia_meta_llama_3_3_70b_instruct,academic,39.80%,39.7971811145544
nvidia_meta_llama_3_3_70b_instruct,literature,55.87%,55.870361328125
nvidia_meta_llama_3_3_70b_instruct,news,79.28%,79.28436994552612
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,39.80%,39.7971811145544
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,55.87%,55.870361328125
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,79.28%,79.28436994552612
nvidia_qwen_qwq_32b,academic,39.80%,39.7971811145544
nvidia_qwen_qwq_32b,literature,55.87%,55.870361328125
nvidia_qwen_qwq_32b,news,79.28%,79.28436994552612
nvidia_google_gemma_2_27b_it,academic,39.80%,39.7971811145544
nvidia_google_gemma_2_27b_it,literature,55.87%,55.870361328125
nvidia_google_gemma_2_27b_it,news,79.28%,79.28436994552612
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,39.80%,39.7971811145544
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,55.87%,55.870361328125
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,79.28%,79.28436994552612
nvidia_deepseek_ai_deepseek_v3_1,academic,39.80%,39.7971811145544
nvidia_deepseek_ai_deepseek_v3_1,literature,55.87%,55.870361328125
nvidia_deepseek_ai_deepseek_v3_1,news,79.28%,79.28436994552612
nvidia_openai_gpt_oss_120b,academic,39.80%,39.7971811145544
nvidia_openai_gpt_oss_120b,literature,55.87%,55.870361328125
nvidia_openai_gpt_oss_120b,news,79.28%,79.28436994552612
nvidia_moonshotai_kimi_k2_instruct,academic,39.80%,39.7971811145544
nvidia_moonshotai_kimi_k2_instruct,literature,55.87%,55.870361328125
nvidia_moonshotai_kimi_k2_instruct,news,79.28%,79.28436994552612
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,39.80%,39.7971811145544
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,55.87%,55.870361328125
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,79.28%,79.28436994552612
nvidia_writer_palmyra_creative_122b,academic,39.80%,39.7971811145544
nvidia_writer_palmyra_creative_122b,literature,55.87%,55.870361328125
nvidia_writer_palmyra_creative_122b,news,79.28%,79.28436994552612
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,39.80%,39.7971811145544
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,55.87%,55.870361328125
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,79.28%,79.28436994552612
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,39.80%,39.7971811145544
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,55.87%,55.870361328125
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,79.28%,79.28436994552612
