Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,35.40%,35.398176312446594
nvidia_deepseek_ai_deepseek_r1_0528,literature,51.09%,51.088615730404854
nvidia_deepseek_ai_deepseek_r1_0528,news,48.08%,48.07943642139435
nvidia_ai21labs_jamba_1_5_large_instruct,academic,35.40%,35.398176312446594
nvidia_ai21labs_jamba_1_5_large_instruct,literature,51.09%,51.088615730404854
nvidia_ai21labs_jamba_1_5_large_instruct,news,52.71%,52.70870327949524
nvidia_meta_llama_3_3_70b_instruct,academic,35.40%,35.398176312446594
nvidia_meta_llama_3_3_70b_instruct,literature,51.09%,51.088615730404854
nvidia_meta_llama_3_3_70b_instruct,news,48.08%,48.07943642139435
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,35.40%,35.398176312446594
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,51.09%,51.088615730404854
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,48.08%,48.07943642139435
nvidia_qwen_qwq_32b,academic,35.40%,35.398176312446594
nvidia_qwen_qwq_32b,literature,51.09%,51.088615730404854
nvidia_qwen_qwq_32b,news,48.08%,48.07943642139435
nvidia_google_gemma_2_27b_it,academic,35.40%,35.398176312446594
nvidia_google_gemma_2_27b_it,literature,51.09%,51.088615730404854
nvidia_google_gemma_2_27b_it,news,48.08%,48.07943642139435
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,35.40%,35.398176312446594
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,51.09%,51.088615730404854
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,48.08%,48.07943642139435
nvidia_deepseek_ai_deepseek_v3_1,academic,35.40%,35.398176312446594
nvidia_deepseek_ai_deepseek_v3_1,literature,51.09%,51.088615730404854
nvidia_deepseek_ai_deepseek_v3_1,news,48.08%,48.07943642139435
nvidia_openai_gpt_oss_120b,academic,35.40%,35.398176312446594
nvidia_openai_gpt_oss_120b,literature,51.09%,51.088615730404854
nvidia_openai_gpt_oss_120b,news,48.08%,48.07943642139435
nvidia_moonshotai_kimi_k2_instruct,academic,35.40%,35.398176312446594
nvidia_moonshotai_kimi_k2_instruct,literature,51.09%,51.088615730404854
nvidia_moonshotai_kimi_k2_instruct,news,48.08%,48.07943642139435
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,35.40%,35.398176312446594
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,51.09%,51.088615730404854
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,48.08%,48.07943642139435
nvidia_writer_palmyra_creative_122b,academic,35.40%,35.398176312446594
nvidia_writer_palmyra_creative_122b,literature,51.09%,51.088615730404854
nvidia_writer_palmyra_creative_122b,news,48.08%,48.07943642139435
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,35.40%,35.398176312446594
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,51.09%,51.088615730404854
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,48.08%,48.07943642139435
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,35.40%,35.398176312446594
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,51.09%,51.088615730404854
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,48.08%,48.07943642139435
