Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,57.62%,57.61899769306183
nvidia_deepseek_ai_deepseek_r1_0528,literature,81.56%,81.56172037124634
nvidia_deepseek_ai_deepseek_r1_0528,news,76.98%,76.98275208473206
nvidia_ai21labs_jamba_1_5_large_instruct,academic,57.62%,57.61899769306183
nvidia_ai21labs_jamba_1_5_large_instruct,literature,81.56%,81.56172037124634
nvidia_ai21labs_jamba_1_5_large_instruct,news,76.98%,76.98275208473206
nvidia_meta_llama_3_3_70b_instruct,academic,57.62%,57.61899769306183
nvidia_meta_llama_3_3_70b_instruct,literature,81.56%,81.56172037124634
nvidia_meta_llama_3_3_70b_instruct,news,76.98%,76.98275208473206
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,57.62%,57.61899769306183
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,81.56%,81.56172037124634
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,76.98%,76.98275208473206
nvidia_qwen_qwq_32b,academic,57.62%,57.61899769306183
nvidia_qwen_qwq_32b,literature,81.56%,81.56172037124634
nvidia_qwen_qwq_32b,news,76.98%,76.98275208473206
nvidia_google_gemma_2_27b_it,academic,57.62%,57.61899769306183
nvidia_google_gemma_2_27b_it,literature,81.56%,81.56172037124634
nvidia_google_gemma_2_27b_it,news,76.98%,76.98275208473206
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,57.62%,57.61899769306183
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,81.56%,81.56172037124634
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,76.98%,76.98275208473206
nvidia_deepseek_ai_deepseek_v3_1,academic,57.62%,57.61899769306183
nvidia_deepseek_ai_deepseek_v3_1,literature,81.56%,81.56172037124634
nvidia_deepseek_ai_deepseek_v3_1,news,76.98%,76.98275208473206
nvidia_openai_gpt_oss_120b,academic,57.62%,57.61899769306183
nvidia_openai_gpt_oss_120b,literature,81.56%,81.56172037124634
nvidia_openai_gpt_oss_120b,news,76.98%,76.98275208473206
nvidia_moonshotai_kimi_k2_instruct,academic,57.62%,57.61899769306183
nvidia_moonshotai_kimi_k2_instruct,literature,81.56%,81.56172037124634
nvidia_moonshotai_kimi_k2_instruct,news,76.98%,76.98275208473206
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,57.62%,57.61899769306183
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,81.56%,81.56172037124634
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,76.98%,76.98275208473206
nvidia_writer_palmyra_creative_122b,academic,57.62%,57.61899769306183
nvidia_writer_palmyra_creative_122b,literature,81.56%,81.56172037124634
nvidia_writer_palmyra_creative_122b,news,76.98%,76.98275208473206
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,57.62%,57.61899769306183
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,81.56%,81.56172037124634
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,76.98%,76.98275208473206
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,57.62%,57.61899769306183
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,81.56%,81.56172037124634
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,76.98%,76.98275208473206
