Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,80.89%,80.89265584945679
nvidia_deepseek_ai_deepseek_r1_0528,literature,73.79%,73.78593742847443
nvidia_deepseek_ai_deepseek_r1_0528,news,80.02%,80.02425909042358
nvidia_ai21labs_jamba_1_5_large_instruct,academic,80.89%,80.89265584945679
nvidia_ai21labs_jamba_1_5_large_instruct,literature,73.79%,73.78593742847443
nvidia_ai21labs_jamba_1_5_large_instruct,news,80.02%,80.02425909042358
nvidia_meta_llama_3_3_70b_instruct,academic,80.89%,80.89265584945679
nvidia_meta_llama_3_3_70b_instruct,literature,73.79%,73.78593742847443
nvidia_meta_llama_3_3_70b_instruct,news,80.02%,80.02425909042358
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,80.89%,80.89265584945679
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,73.79%,73.78593742847443
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,80.02%,80.02425909042358
nvidia_qwen_qwq_32b,academic,80.89%,80.89265584945679
nvidia_qwen_qwq_32b,literature,73.79%,73.78593742847443
nvidia_qwen_qwq_32b,news,80.02%,80.02425909042358
nvidia_google_gemma_2_27b_it,academic,80.89%,80.89265584945679
nvidia_google_gemma_2_27b_it,literature,73.79%,73.78593742847443
nvidia_google_gemma_2_27b_it,news,80.02%,80.02425909042358
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,80.89%,80.89265584945679
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,73.79%,73.78593742847443
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,80.02%,80.02425909042358
nvidia_deepseek_ai_deepseek_v3_1,academic,80.89%,80.89265584945679
nvidia_deepseek_ai_deepseek_v3_1,literature,73.79%,73.78593742847443
nvidia_deepseek_ai_deepseek_v3_1,news,80.02%,80.02425909042358
nvidia_openai_gpt_oss_120b,academic,80.89%,80.89265584945679
nvidia_openai_gpt_oss_120b,literature,73.79%,73.78593742847443
nvidia_openai_gpt_oss_120b,news,80.02%,80.02425909042358
nvidia_moonshotai_kimi_k2_instruct,academic,80.89%,80.89265584945679
nvidia_moonshotai_kimi_k2_instruct,literature,73.79%,73.78593742847443
nvidia_moonshotai_kimi_k2_instruct,news,80.02%,80.02425909042358
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,80.89%,80.89265584945679
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,73.79%,73.78593742847443
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,80.02%,80.02425909042358
nvidia_writer_palmyra_creative_122b,academic,80.89%,80.89265584945679
nvidia_writer_palmyra_creative_122b,literature,73.79%,73.78593742847443
nvidia_writer_palmyra_creative_122b,news,80.02%,80.02425909042358
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,80.89%,80.89265584945679
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,73.79%,73.78593742847443
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,80.02%,80.02425909042358
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,80.89%,80.89265584945679
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,73.79%,73.78593742847443
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,80.02%,80.02425909042358
