Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,81.87%,81.87249422073364
nvidia_deepseek_ai_deepseek_r1_0528,literature,67.26%,67.26495712995529
nvidia_deepseek_ai_deepseek_r1_0528,news,76.80%,76.79669976234436
nvidia_ai21labs_jamba_1_5_large_instruct,academic,81.87%,81.87249422073364
nvidia_ai21labs_jamba_1_5_large_instruct,literature,67.26%,67.26495712995529
nvidia_ai21labs_jamba_1_5_large_instruct,news,76.80%,76.79669976234436
nvidia_meta_llama_3_3_70b_instruct,academic,81.87%,81.87249422073364
nvidia_meta_llama_3_3_70b_instruct,literature,67.26%,67.26495712995529
nvidia_meta_llama_3_3_70b_instruct,news,76.80%,76.79669976234436
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,81.87%,81.87249422073364
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,67.26%,67.26495712995529
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,76.80%,76.79669976234436
nvidia_qwen_qwq_32b,academic,81.87%,81.87249422073364
nvidia_qwen_qwq_32b,literature,67.26%,67.26495712995529
nvidia_qwen_qwq_32b,news,76.80%,76.79669976234436
nvidia_google_gemma_2_27b_it,academic,81.87%,81.87249422073364
nvidia_google_gemma_2_27b_it,literature,67.26%,67.26495712995529
nvidia_google_gemma_2_27b_it,news,76.80%,76.79669976234436
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,81.87%,81.87249422073364
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,67.26%,67.26495712995529
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,76.80%,76.79669976234436
nvidia_deepseek_ai_deepseek_v3_1,academic,81.87%,81.87249422073364
nvidia_deepseek_ai_deepseek_v3_1,literature,67.26%,67.26495712995529
nvidia_deepseek_ai_deepseek_v3_1,news,76.80%,76.79669976234436
nvidia_openai_gpt_oss_120b,academic,81.87%,81.87249422073364
nvidia_openai_gpt_oss_120b,literature,67.26%,67.26495712995529
nvidia_openai_gpt_oss_120b,news,76.80%,76.79669976234436
nvidia_moonshotai_kimi_k2_instruct,academic,81.87%,81.87249422073364
nvidia_moonshotai_kimi_k2_instruct,literature,67.26%,67.26495712995529
nvidia_moonshotai_kimi_k2_instruct,news,76.80%,76.79669976234436
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,81.87%,81.87249422073364
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,67.26%,67.26495712995529
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,76.80%,76.79669976234436
nvidia_writer_palmyra_creative_122b,academic,81.87%,81.87249422073364
nvidia_writer_palmyra_creative_122b,literature,67.26%,67.26495712995529
nvidia_writer_palmyra_creative_122b,news,76.80%,76.79669976234436
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,81.87%,81.87249422073364
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,67.26%,67.26495712995529
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,76.80%,76.79669976234436
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,81.87%,81.87249422073364
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,67.26%,67.26495712995529
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,76.80%,76.79669976234436
