Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,96.79%,96.78860425949097
nvidia_deepseek_ai_deepseek_r1_0528,literature,99.28%,99.28227305412292
nvidia_deepseek_ai_deepseek_r1_0528,news,95.77%,95.77251195907591
nvidia_ai21labs_jamba_1_5_large_instruct,academic,96.79%,96.78860425949097
nvidia_ai21labs_jamba_1_5_large_instruct,literature,99.28%,99.28227305412292
nvidia_ai21labs_jamba_1_5_large_instruct,news,95.77%,95.77251195907591
nvidia_meta_llama_3_3_70b_instruct,academic,96.79%,96.78860425949097
nvidia_meta_llama_3_3_70b_instruct,literature,99.28%,99.28227305412292
nvidia_meta_llama_3_3_70b_instruct,news,95.77%,95.77251195907591
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,96.79%,96.78860425949097
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,99.28%,99.28227305412292
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,95.77%,95.77251195907591
nvidia_qwen_qwq_32b,academic,96.79%,96.78860425949097
nvidia_qwen_qwq_32b,literature,99.28%,99.28227305412292
nvidia_qwen_qwq_32b,news,95.77%,95.77251195907591
nvidia_google_gemma_2_27b_it,academic,96.79%,96.78860425949097
nvidia_google_gemma_2_27b_it,literature,99.28%,99.28227305412292
nvidia_google_gemma_2_27b_it,news,95.77%,95.77251195907591
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,96.79%,96.78860425949097
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,99.28%,99.28227305412292
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,95.77%,95.77251195907591
nvidia_deepseek_ai_deepseek_v3_1,academic,96.79%,96.78860425949097
nvidia_deepseek_ai_deepseek_v3_1,literature,99.28%,99.28227305412292
nvidia_deepseek_ai_deepseek_v3_1,news,95.77%,95.77251195907591
nvidia_openai_gpt_oss_120b,academic,96.79%,96.78860425949097
nvidia_openai_gpt_oss_120b,literature,99.28%,99.28227305412292
nvidia_openai_gpt_oss_120b,news,95.77%,95.77251195907591
nvidia_moonshotai_kimi_k2_instruct,academic,96.79%,96.78860425949097
nvidia_moonshotai_kimi_k2_instruct,literature,99.28%,99.28227305412292
nvidia_moonshotai_kimi_k2_instruct,news,95.77%,95.77251195907591
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,96.79%,96.78860425949097
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,99.28%,99.28227305412292
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,95.77%,95.77251195907591
nvidia_writer_palmyra_creative_122b,academic,96.79%,96.78860425949097
nvidia_writer_palmyra_creative_122b,literature,99.28%,99.28227305412292
nvidia_writer_palmyra_creative_122b,news,95.77%,95.77251195907591
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,96.79%,96.78860425949097
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,99.28%,99.28227305412292
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,95.77%,95.77251195907591
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,96.79%,96.78860425949097
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,99.28%,99.28227305412292
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,95.77%,95.77251195907591
