Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,44.67%,44.674589931964874
nvidia_deepseek_ai_deepseek_r1_0528,literature,63.87%,63.872464299201965
nvidia_deepseek_ai_deepseek_r1_0528,news,62.63%,62.63435482978821
nvidia_ai21labs_jamba_1_5_large_instruct,academic,44.67%,44.674589931964874
nvidia_ai21labs_jamba_1_5_large_instruct,literature,63.87%,63.872464299201965
nvidia_ai21labs_jamba_1_5_large_instruct,news,62.63%,62.63435482978821
nvidia_meta_llama_3_3_70b_instruct,academic,44.67%,44.674589931964874
nvidia_meta_llama_3_3_70b_instruct,literature,63.87%,63.872464299201965
nvidia_meta_llama_3_3_70b_instruct,news,62.63%,62.63435482978821
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,44.67%,44.674589931964874
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,63.87%,63.872464299201965
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,62.63%,62.63435482978821
nvidia_qwen_qwq_32b,academic,44.67%,44.674589931964874
nvidia_qwen_qwq_32b,literature,63.87%,63.872464299201965
nvidia_qwen_qwq_32b,news,62.63%,62.63435482978821
nvidia_google_gemma_2_27b_it,academic,44.67%,44.674589931964874
nvidia_google_gemma_2_27b_it,literature,63.87%,63.872464299201965
nvidia_google_gemma_2_27b_it,news,62.63%,62.63435482978821
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,44.67%,44.674589931964874
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,63.87%,63.872464299201965
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,62.63%,62.63435482978821
nvidia_deepseek_ai_deepseek_v3_1,academic,44.67%,44.674589931964874
nvidia_deepseek_ai_deepseek_v3_1,literature,63.87%,63.872464299201965
nvidia_deepseek_ai_deepseek_v3_1,news,62.63%,62.63435482978821
nvidia_openai_gpt_oss_120b,academic,44.67%,44.674589931964874
nvidia_openai_gpt_oss_120b,literature,63.87%,63.872464299201965
nvidia_openai_gpt_oss_120b,news,62.63%,62.63435482978821
nvidia_moonshotai_kimi_k2_instruct,academic,44.67%,44.674589931964874
nvidia_moonshotai_kimi_k2_instruct,literature,63.87%,63.872464299201965
nvidia_moonshotai_kimi_k2_instruct,news,62.63%,62.63435482978821
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,44.67%,44.674589931964874
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,63.87%,63.872464299201965
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,62.63%,62.63435482978821
nvidia_writer_palmyra_creative_122b,academic,44.67%,44.674589931964874
nvidia_writer_palmyra_creative_122b,literature,63.87%,63.872464299201965
nvidia_writer_palmyra_creative_122b,news,62.63%,62.63435482978821
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,44.67%,44.674589931964874
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,63.87%,63.872464299201965
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,62.63%,62.63435482978821
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,44.67%,44.674589931964874
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,63.87%,63.872464299201965
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,62.63%,62.63435482978821
