Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,68.70%,68.70169520378113
nvidia_deepseek_ai_deepseek_r1_0528,literature,51.46%,51.45829617977142
nvidia_deepseek_ai_deepseek_r1_0528,news,63.63%,63.627933859825134
nvidia_ai21labs_jamba_1_5_large_instruct,academic,68.70%,68.70169520378113
nvidia_ai21labs_jamba_1_5_large_instruct,literature,51.46%,51.45829617977142
nvidia_ai21labs_jamba_1_5_large_instruct,news,63.63%,63.627933859825134
nvidia_meta_llama_3_3_70b_instruct,academic,68.70%,68.70169520378113
nvidia_meta_llama_3_3_70b_instruct,literature,51.46%,51.45829617977142
nvidia_meta_llama_3_3_70b_instruct,news,63.63%,63.627933859825134
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,68.70%,68.70169520378113
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,51.46%,51.45829617977142
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,63.63%,63.627933859825134
nvidia_qwen_qwq_32b,academic,68.70%,68.70169520378113
nvidia_qwen_qwq_32b,literature,51.46%,51.45829617977142
nvidia_qwen_qwq_32b,news,63.63%,63.627933859825134
nvidia_google_gemma_2_27b_it,academic,68.70%,68.70169520378113
nvidia_google_gemma_2_27b_it,literature,51.46%,51.45829617977142
nvidia_google_gemma_2_27b_it,news,63.63%,63.627933859825134
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,68.70%,68.70169520378113
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,51.46%,51.45829617977142
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,63.63%,63.627933859825134
nvidia_deepseek_ai_deepseek_v3_1,academic,68.70%,68.70169520378113
nvidia_deepseek_ai_deepseek_v3_1,literature,51.46%,51.45829617977142
nvidia_deepseek_ai_deepseek_v3_1,news,63.63%,63.627933859825134
nvidia_openai_gpt_oss_120b,academic,68.70%,68.70169520378113
nvidia_openai_gpt_oss_120b,literature,51.46%,51.45829617977142
nvidia_openai_gpt_oss_120b,news,63.63%,63.627933859825134
nvidia_moonshotai_kimi_k2_instruct,academic,68.70%,68.70169520378113
nvidia_moonshotai_kimi_k2_instruct,literature,51.46%,51.45829617977142
nvidia_moonshotai_kimi_k2_instruct,news,63.63%,63.627933859825134
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,68.70%,68.70169520378113
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,51.46%,51.45829617977142
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,63.63%,63.627933859825134
nvidia_writer_palmyra_creative_122b,academic,68.70%,68.70169520378113
nvidia_writer_palmyra_creative_122b,literature,51.46%,51.45829617977142
nvidia_writer_palmyra_creative_122b,news,63.63%,63.627933859825134
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,68.70%,68.70169520378113
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,51.46%,51.45829617977142
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,63.63%,63.627933859825134
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,68.70%,68.70169520378113
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,51.46%,51.45829617977142
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,63.63%,63.627933859825134
