Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,61.51%,61.51496171951294
nvidia_deepseek_ai_deepseek_r1_0528,literature,67.53%,67.52951681613922
nvidia_deepseek_ai_deepseek_r1_0528,news,79.29%,79.2940104007721
nvidia_ai21labs_jamba_1_5_large_instruct,academic,61.51%,61.51496171951294
nvidia_ai21labs_jamba_1_5_large_instruct,literature,67.53%,67.52951681613922
nvidia_ai21labs_jamba_1_5_large_instruct,news,79.29%,79.2940104007721
nvidia_meta_llama_3_3_70b_instruct,academic,61.51%,61.51496171951294
nvidia_meta_llama_3_3_70b_instruct,literature,67.53%,67.52951681613922
nvidia_meta_llama_3_3_70b_instruct,news,79.29%,79.2940104007721
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,61.51%,61.51496171951294
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,67.53%,67.52951681613922
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,79.29%,79.2940104007721
nvidia_qwen_qwq_32b,academic,61.51%,61.51496171951294
nvidia_qwen_qwq_32b,literature,67.53%,67.52951681613922
nvidia_qwen_qwq_32b,news,79.29%,79.2940104007721
nvidia_google_gemma_2_27b_it,academic,61.51%,61.51496171951294
nvidia_google_gemma_2_27b_it,literature,67.53%,67.52951681613922
nvidia_google_gemma_2_27b_it,news,79.29%,79.2940104007721
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,61.51%,61.51496171951294
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,67.53%,67.52951681613922
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,79.29%,79.2940104007721
nvidia_deepseek_ai_deepseek_v3_1,academic,61.51%,61.51496171951294
nvidia_deepseek_ai_deepseek_v3_1,literature,67.53%,67.52951681613922
nvidia_deepseek_ai_deepseek_v3_1,news,79.29%,79.2940104007721
nvidia_openai_gpt_oss_120b,academic,61.51%,61.51496171951294
nvidia_openai_gpt_oss_120b,literature,67.53%,67.52951681613922
nvidia_openai_gpt_oss_120b,news,79.29%,79.2940104007721
nvidia_moonshotai_kimi_k2_instruct,academic,61.51%,61.51496171951294
nvidia_moonshotai_kimi_k2_instruct,literature,67.53%,67.52951681613922
nvidia_moonshotai_kimi_k2_instruct,news,79.29%,79.2940104007721
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,61.51%,61.51496171951294
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,67.53%,67.52951681613922
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,79.29%,79.2940104007721
nvidia_writer_palmyra_creative_122b,academic,61.51%,61.51496171951294
nvidia_writer_palmyra_creative_122b,literature,67.53%,67.52951681613922
nvidia_writer_palmyra_creative_122b,news,79.29%,79.2940104007721
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,61.51%,61.51496171951294
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,67.53%,67.52951681613922
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,79.29%,79.2940104007721
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,61.51%,61.51496171951294
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,67.53%,67.52951681613922
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,79.29%,79.2940104007721
