Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,89.94%,89.93552923202515
nvidia_deepseek_ai_deepseek_r1_0528,literature,87.83%,87.82528281211853
nvidia_deepseek_ai_deepseek_r1_0528,news,88.76%,88.76051306724548
nvidia_ai21labs_jamba_1_5_large_instruct,academic,89.94%,89.93552923202515
nvidia_ai21labs_jamba_1_5_large_instruct,literature,87.83%,87.82528281211853
nvidia_ai21labs_jamba_1_5_large_instruct,news,88.76%,88.76051306724548
nvidia_meta_llama_3_3_70b_instruct,academic,89.94%,89.93552923202515
nvidia_meta_llama_3_3_70b_instruct,literature,87.83%,87.82528281211853
nvidia_meta_llama_3_3_70b_instruct,news,88.76%,88.76051306724548
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,89.94%,89.93552923202515
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,87.83%,87.82528281211853
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,88.76%,88.76051306724548
nvidia_qwen_qwq_32b,academic,89.94%,89.93552923202515
nvidia_qwen_qwq_32b,literature,87.83%,87.82528281211853
nvidia_qwen_qwq_32b,news,88.76%,88.76051306724548
nvidia_google_gemma_2_27b_it,academic,89.94%,89.93552923202515
nvidia_google_gemma_2_27b_it,literature,87.83%,87.82528281211853
nvidia_google_gemma_2_27b_it,news,88.76%,88.76051306724548
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,89.94%,89.93552923202515
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,87.83%,87.82528281211853
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,88.76%,88.76051306724548
nvidia_deepseek_ai_deepseek_v3_1,academic,89.94%,89.93552923202515
nvidia_deepseek_ai_deepseek_v3_1,literature,87.83%,87.82528281211853
nvidia_deepseek_ai_deepseek_v3_1,news,88.76%,88.76051306724548
nvidia_openai_gpt_oss_120b,academic,89.94%,89.93552923202515
nvidia_openai_gpt_oss_120b,literature,87.83%,87.82528281211853
nvidia_openai_gpt_oss_120b,news,88.76%,88.76051306724548
nvidia_moonshotai_kimi_k2_instruct,academic,89.94%,89.93552923202515
nvidia_moonshotai_kimi_k2_instruct,literature,87.83%,87.82528281211853
nvidia_moonshotai_kimi_k2_instruct,news,88.76%,88.76051306724548
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,89.94%,89.93552923202515
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,87.83%,87.82528281211853
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,88.76%,88.76051306724548
nvidia_writer_palmyra_creative_122b,academic,89.94%,89.93552923202515
nvidia_writer_palmyra_creative_122b,literature,87.83%,87.82528281211853
nvidia_writer_palmyra_creative_122b,news,88.76%,88.76051306724548
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,89.94%,89.93552923202515
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,87.83%,87.82528281211853
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,88.76%,88.76051306724548
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,89.94%,89.93552923202515
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,87.83%,87.82528281211853
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,88.76%,88.76051306724548
