Model,Source,Similarity Score (%),Raw Score
nvidia_deepseek_ai_deepseek_r1_0528,academic,48.63%,48.62531006336212
nvidia_deepseek_ai_deepseek_r1_0528,literature,54.64%,54.63920533657074
nvidia_deepseek_ai_deepseek_r1_0528,news,38.97%,38.97149920463562
nvidia_ai21labs_jamba_1_5_large_instruct,academic,48.63%,48.62531006336212
nvidia_ai21labs_jamba_1_5_large_instruct,literature,54.64%,54.63920533657074
nvidia_ai21labs_jamba_1_5_large_instruct,news,38.97%,38.97149920463562
nvidia_meta_llama_3_3_70b_instruct,academic,48.63%,48.62531006336212
nvidia_meta_llama_3_3_70b_instruct,literature,54.64%,54.63920533657074
nvidia_meta_llama_3_3_70b_instruct,news,38.97%,38.97149920463562
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,academic,48.63%,48.62531006336212
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,literature,54.64%,54.63920533657074
nvidia_abacusai_dracarys_llama_3_1_70b_instruct,news,38.97%,38.97149920463562
nvidia_qwen_qwq_32b,academic,48.63%,48.62531006336212
nvidia_qwen_qwq_32b,literature,54.64%,54.63920533657074
nvidia_qwen_qwq_32b,news,38.97%,38.97149920463562
nvidia_google_gemma_2_27b_it,academic,48.63%,48.62531006336212
nvidia_google_gemma_2_27b_it,literature,54.64%,54.63920533657074
nvidia_google_gemma_2_27b_it,news,38.97%,38.97149920463562
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,academic,48.63%,48.62531006336212
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,literature,54.64%,54.63920533657074
nvidia_nvidia_llama_3_1_nemotron_70b_instruct,news,38.97%,38.97149920463562
nvidia_deepseek_ai_deepseek_v3_1,academic,48.63%,48.62531006336212
nvidia_deepseek_ai_deepseek_v3_1,literature,54.64%,54.63920533657074
nvidia_deepseek_ai_deepseek_v3_1,news,38.97%,38.97149920463562
nvidia_openai_gpt_oss_120b,academic,48.63%,48.62531006336212
nvidia_openai_gpt_oss_120b,literature,54.64%,54.63920533657074
nvidia_openai_gpt_oss_120b,news,38.97%,38.97149920463562
nvidia_moonshotai_kimi_k2_instruct,academic,48.63%,48.62531006336212
nvidia_moonshotai_kimi_k2_instruct,literature,54.64%,54.63920533657074
nvidia_moonshotai_kimi_k2_instruct,news,38.97%,38.97149920463562
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,academic,48.63%,48.62531006336212
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,literature,54.64%,54.63920533657074
nvidia_nvidia_llama_3_1_nemotron_ultra_253b_v1,news,38.97%,38.97149920463562
nvidia_writer_palmyra_creative_122b,academic,48.63%,48.62531006336212
nvidia_writer_palmyra_creative_122b,literature,54.64%,54.63920533657074
nvidia_writer_palmyra_creative_122b,news,38.97%,38.97149920463562
nvidia_qwen_qwen3_coder_480b_a35b_instruct,academic,48.63%,48.62531006336212
nvidia_qwen_qwen3_coder_480b_a35b_instruct,literature,54.64%,54.63920533657074
nvidia_qwen_qwen3_coder_480b_a35b_instruct,news,38.97%,38.97149920463562
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,academic,48.63%,48.62531006336212
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,literature,54.64%,54.63920533657074
nvidia_gotocompany_gemma_2_9b_cpt_sahabatai_instruct,news,38.97%,38.97149920463562
